,date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
279,1942-10-07,14.3,5.4,-0.1,0.4,1004.5,12.7,1.2,1.6
280,1942-10-08,12.2,5.0,3.3,0.0,1003.0,17.5,1.5,2.3
281,1942-10-09,13.3,5.0,2.7,3.2,999.4,23.7,1.0,1.6
282,1942-10-10,14.3,5.2,7.2,0.3,997.4,19.5,1.0,1.8
283,1942-10-11,12.4,3.4,1.3,0.0,1007.6,11.5,1.2,1.8
284,1942-10-12,13.7,3.9,3.8,0.2,1008.6,12.3,0.7,1.1
285,1942-10-13,13.2,2.5,0.4,2.5,1009.4,10.5,1.1,1.5
286,1942-10-14,19.0,10.0,6.9,0.7,1002.7,20.1,1.5,2.1
287,1942-10-15,13.8,8.3,6.1,0.0,1006.8,23.0,1.8,2.6
288,1942-10-16,15.2,10.6,8.8,0.1,1013.2,19.5,1.6,2.1
289,1942-10-17,16.7,10.7,8.9,0.0,1010.2,19.5,1.2,1.7
290,1942-10-18,16.1,12.4,12.1,0.2,1008.0,15.9,0.7,1.1
291,1942-10-19,17.9,9.4,8.3,0.0,1007.6,5.6,0.8,1
292,1942-10-20,12.9,5.7,5.7,0.7,1005.5,10.7,0.6,1
293,1942-10-21,13.3,5.3,3.6,2.8,1006.8,17.5,0.5,0.9
294,1942-10-22,14.7,10.4,12.6,4.7,1002.7,17.5,0.7,1
295,1942-10-23,12.1,8.2,9.3,3.3,998.9,9.9,0.7,1
296,1942-10-24,10.2,4.4,3.9,0.4,992.5,19.5,1.1,1.6
297,1942-10-25,6.3,2.1,-1,6.3,986.2,8.7,0.5,0.7
298,1942-10-26,9.8,0.2,-1.1,0.0,981.4,10.0,0.8,1.1
299,1942-10-27,8.2,2.3,0.6,0.2,984.5,8.3,0.6,0.9
300,1942-10-28,11.7,0.7,-6.1,0.0,992.2,2.6,0.4,0.7
301,1942-10-29,10.7,3.2,-3.9,1.9,994.7,12.1,0.8,1.1
302,1942-10-30,8.1,5.0,4.3,2.4,996.8,13.0,1.1,1.4
303,1942-10-31,7.9,2.4,3.3,0.5,998.2,7.7,0.8,1
304,1942-11-01,6.9,0.2,-1.3,2.9,1000.0,5.2,0.5,0.7
305,1942-11-02,8.2,-1.3,-2.8,0.0,1001.8,4.4,0.4,0.6
306,1942-11-03,8.4,0.9,0.3,0.0,1005.7,6.0,0.5,0.7
307,1942-11-04,9.8,-2.9,-3.9,0.0,1004.1,2.9,0.3,0.6
308,1942-11-05,6.7,1.7,-6.8,0.6,997.8,4.3,0.4,0.5
309,1942-11-06,12.8,3.1,1.3,2.2,991.5,16.2,0.8,1.1
310,1942-11-07,10.0,4.1,1.7,0.4,997.5,16.4,1.0,1.3
311,1942-11-08,11.1,2.4,0.6,0.0,1008.6,11.3,0.6,0.8
312,1942-11-09,12.7,5.6,2.8,0.0,1013.6,12.8,1.2,1.4
313,1942-11-10,10.9,2.2,7.2,2.9,1014.3,10.8,0.5,0.7
314,1942-11-11,10.7,-0.1,-2.4,0.3,1013.1,8.6,0.4,0.5
315,1942-11-12,8.4,0.7,-0.2,0.1,1015.4,13.0,0.4,0.5
316,1942-11-13,8.7,-0.8,-2.3,0.0,1025.8,9.5,0.4,0.5
317,1942-11-14,7.4,3.1,-0.4,0.1,1027.8,9.5,0.3,0.4
318,1942-11-15,10.2,3.0,5.5,0.0,1024.6,8.9,0.4,0.5
319,1942-11-16,8.4,1.0,-0.3,0.0,1026.9,9.3,0.5,0.6
320,1942-11-17,6.6,-1.0,-2.7,0.0,1027.5,9.2,0.3,0.4
321,1942-11-18,8.0,0.7,-1.7,0.0,1024.1,9.7,0.5,0.7
322,1942-11-19,7.4,4.1,5,0.0,1021.5,7.3,0.6,0.7
323,1942-11-20,9.1,2.4,1.1,0.0,1020.4,11.5,0.4,0.5
324,1942-11-21,6.9,2.8,1.6,0.0,1022.9,10.3,0.8,0.9
325,1942-11-22,4.3,-0.6,1.7,0.0,1026.2,5.2,0.6,0.8
326,1942-11-23,6.1,-2.2,-4.2,0.0,1027.4,11.5,0.6,0.7
327,1942-11-24,9.1,3.3,2.8,0.0,1029.5,4.8,0.4,0.6
328,1942-11-25,9.1,6.4,5.4,0.0,1029.4,4.7,0.6,0.7
